Time,Open,High,Low,Close,Volume,mean
13:00 30-11-2020,19291.88,19579.0,19127.48,19196.4,7387.105824,
14:00 30-11-2020,19196.41,19470.0,19011.1,19393.6,6736.145261,
15:00 30-11-2020,19393.6,19467.23,19141.89,19175.78,4761.075837,
16:00 30-11-2020,19175.87,19315.0,19050.0,19259.98,3291.4662,
17:00 30-11-2020,19259.98,19494.35,19170.78,19439.48,3745.422077,
18:00 30-11-2020,19439.27,19520.0,19323.18,19381.25,2732.124008,
19:00 30-11-2020,19379.86,19500.0,19233.09,19499.99,2253.147885,
20:00 30-11-2020,19500.0,19747.05,19450.43,19695.87,5413.398648,
21:00 30-11-2020,19695.87,19720.0,19479.8,19565.47,4570.361518,
22:00 30-11-2020,19565.47,19639.99,19433.15,19605.75,2702.459235,
23:00 30-11-2020,19605.75,19704.93,19548.57,19680.95,2408.229978,
00:00 01-12-2020,19680.96,19682.77,19340.0,19419.74,2889.848604,
01:00 01-12-2020,19419.73,19527.02,19344.92,19354.31,3400.857941,
02:00 01-12-2020,19352.64,19502.54,19281.38,19483.73,2620.883792,
03:00 01-12-2020,19483.73,19517.94,19309.87,19338.34,3129.776329,
04:00 01-12-2020,19338.33,19546.81,19300.0,19515.63,3009.225182,
05:00 01-12-2020,19515.62,19567.0,19441.19,19466.99,3143.172961,
06:00 01-12-2020,19467.0,19570.0,19426.96,19565.0,2824.268695,
07:00 01-12-2020,19564.99,19800.0,19558.77,19739.51,7640.260767,
08:00 01-12-2020,19739.51,19888.0,18886.0,19425.0,14556.657151,19460.1385
09:00 01-12-2020,19425.4,19482.01,18399.99,18551.35,17554.24707,19427.886
10:00 01-12-2020,18550.25,18844.15,18001.12,18759.73,14772.777639,19396.1925
11:00 01-12-2020,18759.74,19364.82,18651.0,19285.31,7821.047189,19401.669
12:00 01-12-2020,19285.3,19489.3,19147.6,19263.37,6838.162713,19401.8385
13:00 01-12-2020,19263.36,19325.83,18938.22,19058.8,5690.017039,19382.8045
14:00 01-12-2020,19058.8,19086.95,18611.88,19058.4,6526.028983,19366.662
15:00 01-12-2020,19058.4,19074.64,18693.37,18738.82,3316.505911,19328.6035
16:00 01-12-2020,18738.83,19135.19,18720.48,19069.79,2954.651375,19297.2995
17:00 01-12-2020,19069.79,19150.0,18862.0,19024.32,2451.419624,19270.242
18:00 01-12-2020,19024.33,19211.0,18936.61,19038.39,2275.27857,19241.874
19:00 01-12-2020,19038.39,19156.72,18830.18,18895.0,1719.522796,19202.5765
20:00 01-12-2020,18895.01,18943.26,18725.0,18764.96,2883.10159,19169.8375
21:00 01-12-2020,18764.96,18877.92,18433.0,18836.51,4372.162317,19143.9475
