Time,Open,High,Low,Close,Volume,mean
01:00 17-08-2017,4261.48,4313.62,4261.32,4308.83,47.181009,
02:00 17-08-2017,4308.83,4328.69,4291.37,4315.32,23.234916,
03:00 17-08-2017,4330.29,4345.45,4309.37,4324.35,7.229691,
04:00 17-08-2017,4316.62,4349.99,4287.41,4349.99,4.443249,
05:00 17-08-2017,4333.32,4377.85,4333.32,4360.69,0.972807,
06:00 17-08-2017,4360.0,4445.78,4360.0,4444.0,10.763623,
07:00 17-08-2017,4441.1,4470.0,4399.81,4460.0,24.865399,
08:00 17-08-2017,4460.0,4485.39,4427.3,4427.3,27.018053,
09:00 17-08-2017,4436.06,4449.56,4411.0,4411.0,23.032398,
10:00 17-08-2017,4411.0,4459.0,4411.0,4459.0,31.312436,
11:00 17-08-2017,4459.0,4485.39,4435.93,4470.82,51.735897,
12:00 17-08-2017,4470.82,4470.82,4333.42,4352.34,68.48127,
13:00 17-08-2017,4352.33,4354.35,4255.3,4354.18,67.458791,
14:00 17-08-2017,4354.18,4354.84,4235.45,4289.24,59.664912,
15:00 17-08-2017,4289.24,4302.45,4218.68,4256.97,51.275163,
16:00 17-08-2017,4241.91,4335.3,4200.74,4325.23,46.71085,
17:00 17-08-2017,4307.56,4354.84,4258.56,4346.74,48.975472,
18:00 17-08-2017,4346.74,4369.69,4309.23,4333.55,61.773036,
19:00 17-08-2017,4333.55,4359.13,4310.0,4336.8,57.376142,
20:00 17-08-2017,4313.39,4337.38,4280.82,4285.08,81.645263,4360.5715
21:00 17-08-2017,4285.08,4340.62,4228.76,4286.53,82.435474,4359.4565
22:00 17-08-2017,4269.36,4269.36,4134.61,4243.59,75.684883,4355.870000000001
23:00 17-08-2017,4251.95,4298.64,4234.0,4267.59,54.071337,4353.032
00:00 18-08-2017,4244.77,4308.7,4234.0,4292.39,64.001349,4350.152
01:00 18-08-2017,4292.39,4292.39,4234.43,4287.92,50.797515,4346.5135
02:00 18-08-2017,4287.92,4340.62,4250.04,4313.56,64.169286,4339.9915
03:00 18-08-2017,4313.56,4316.98,4247.75,4279.46,64.235424,4330.9645
04:00 18-08-2017,4279.46,4304.67,4270.48,4300.25,69.186804,4324.612
05:00 18-08-2017,4285.0,4320.71,4259.85,4282.73,74.829849,4318.1985
06:00 18-08-2017,4265.33,4327.25,4265.33,4304.15,45.653156,4310.456
07:00 18-08-2017,4304.15,4371.52,4296.04,4356.31,51.563675,4304.7305
08:00 18-08-2017,4356.31,4357.37,4302.72,4340.31,24.093449,4304.129
09:00 18-08-2017,4320.52,4340.31,4287.79,4331.71,15.118957,4303.005499999999
10:00 18-08-2017,4302.97,4318.16,4221.05,4293.09,46.533767,4303.198
11:00 18-08-2017,4293.09,4293.09,4193.7,4259.4,74.368943,4303.3195
12:00 18-08-2017,4259.4,4259.4,4200.0,4236.89,39.947717,4298.9025
13:00 18-08-2017,4234.54,4283.79,4234.54,4250.34,45.038824,4294.0824999999995
14:00 18-08-2017,4250.34,4250.34,4066.53,4193.35,62.691466,4287.0725
15:00 18-08-2017,4171.17,4297.75,4117.41,4117.41,25.318654,4276.103
16:00 18-08-2017,4086.28,4136.48,4015.7,4136.28,60.598026,4268.6630000000005
17:00 18-08-2017,4135.0,4135.0,3981.13,4021.11,19.968037,4255.392000000001
