Time,Open,High,Low,Close,Volume,mean
01:00 17-08-2017,301.13,307.96,298.0,307.96,1561.95305,
05:00 17-08-2017,307.95,312.0,307.0,308.95,1177.71088,
09:00 17-08-2017,308.95,310.51,303.56,307.06,1882.05267,
13:00 17-08-2017,307.74,312.18,298.21,301.6,1208.05192,
17:00 17-08-2017,301.6,310.85,299.01,302.0,1200.94182,
21:00 17-08-2017,302.0,306.47,295.19,301.4,1690.58319,
01:00 18-08-2017,301.4,309.49,298.41,306.24,1732.52616,
05:00 18-08-2017,306.24,311.79,303.22,307.78,1213.01283,
09:00 18-08-2017,307.78,310.29,296.32,298.8,1358.99471,
13:00 18-08-2017,298.8,301.11,287.37,293.83,1620.71499,
17:00 18-08-2017,295.46,295.46,283.94,293.96,1922.01458,
21:00 18-08-2017,293.31,299.84,292.83,293.22,282.19297,
01:00 19-08-2017,294.69,299.9,287.01,290.16,235.2921,
05:00 19-08-2017,290.16,293.17,278.0,282.58,1139.03045,
09:00 19-08-2017,281.39,290.85,279.56,288.64,288.29994,
13:00 19-08-2017,288.64,295.0,284.16,293.31,127.38589,
17:00 19-08-2017,290.6,294.9,288.8,290.91,73.99638,
21:00 19-08-2017,289.41,292.42,285.96,292.41,68.40092,
01:00 20-08-2017,287.97,295.56,285.39,292.08,252.26228,
05:00 20-08-2017,293.02,296.89,282.85,295.0,240.75968,297.3945
09:00 20-08-2017,295.0,296.92,292.28,295.1,67.3647,296.7515
13:00 20-08-2017,295.1,300.53,293.28,297.88,361.56695,296.198
17:00 20-08-2017,297.87,300.53,294.51,299.1,1519.78418,295.8
21:00 20-08-2017,299.1,300.9,294.6,299.85,723.80595,295.7125
01:00 21-08-2017,300.03,329.49,299.11,318.5,888.57113,296.5375
05:00 21-08-2017,317.48,333.66,312.6,331.53,207.37686,298.044
09:00 21-08-2017,331.33,346.52,325.42,334.94,1227.44025,299.479
13:00 21-08-2017,334.34,342.72,316.82,329.71,1715.07272,300.57550000000003
17:00 21-08-2017,332.27,332.74,316.12,323.29,457.17851,301.8
21:00 21-08-2017,321.04,330.41,280.0,280.0,809.61524,301.1085
01:00 22-08-2017,144.21,310.24,144.21,300.35,707.47249,301.428
05:00 22-08-2017,300.35,313.16,296.0,308.03,2176.12505,302.1685
09:00 22-08-2017,311.16,311.24,301.48,308.39,1756.8306,303.08000000000004
13:00 22-08-2017,305.08,320.76,305.08,307.03,1304.2511,304.3025
17:00 22-08-2017,307.03,313.99,305.08,309.8,1202.0564,305.3605
21:00 22-08-2017,312.25,319.78,309.41,317.26,1088.33347,306.558
01:00 23-08-2017,315.45,324.99,315.35,319.06,1376.06321,307.9655
05:00 23-08-2017,319.06,324.51,318.02,319.2,1285.87403,309.30499999999995
09:00 23-08-2017,319.2,322.0,313.75,319.2,2106.38559,310.66099999999994
13:00 23-08-2017,317.87,322.34,315.53,318.57,1635.49673,311.8395
17:00 23-08-2017,318.57,320.2,312.05,315.74,1173.57266,312.8715
21:00 23-08-2017,315.74,318.45,314.01,315.22,1061.17398,313.73850000000004
01:00 24-08-2017,315.22,322.36,314.31,318.54,1074.07592,314.7105
05:00 24-08-2017,318.54,323.61,316.14,323.61,1670.50319,315.8985
09:00 24-08-2017,322.51,328.04,317.9,321.2,1138.04846,316.0335
13:00 24-08-2017,323.67,325.35,318.97,321.23,909.12592,315.5185
17:00 24-08-2017,321.23,326.33,318.97,323.42,900.34445,314.9425
21:00 24-08-2017,323.42,330.44,323.42,326.55,1406.8485,314.78450000000004
01:00 25-08-2017,326.55,335.0,326.55,330.29,1115.60692,315.1345
05:00 25-08-2017,330.29,335.41,327.4,331.26,1199.42604,317.6975
09:00 25-08-2017,329.68,335.33,328.72,333.15,1961.178,319.3375
13:00 25-08-2017,335.29,338.28,325.42,328.71,751.25954,320.3715
17:00 25-08-2017,329.91,332.27,324.9,327.24,691.65062,321.314
21:00 25-08-2017,327.24,332.27,323.41,323.46,569.57801,322.1355
01:00 26-08-2017,323.46,329.69,323.41,327.9,1070.6985,323.04049999999995
05:00 26-08-2017,328.45,331.25,326.69,327.89,856.541,323.572
09:00 26-08-2017,328.25,335.44,324.06,327.0,940.58482,323.969
13:00 26-08-2017,327.01,334.17,326.7,331.19,803.00095,324.5685
17:00 26-08-2017,332.68,334.17,329.33,330.79,637.28193,325.148
21:00 26-08-2017,332.18,338.28,330.79,331.62,1056.62234,325.80049999999994
01:00 27-08-2017,334.5,338.29,331.49,332.77,689.1668,326.652
05:00 27-08-2017,332.77,338.42,330.73,333.94,857.24989,327.588
09:00 27-08-2017,333.93,336.99,331.88,334.67,665.54231,328.3945
13:00 27-08-2017,335.04,341.47,332.97,339.64,795.13177,329.196
17:00 27-08-2017,341.47,348.13,337.12,348.13,571.72404,330.5425
21:00 27-08-2017,348.11,351.0,343.44,343.44,740.63428,331.653
01:00 28-08-2017,343.43,343.69,331.95,338.77,1139.94898,332.4205
05:00 28-08-2017,340.89,342.86,336.54,341.9,636.04761,333.188
09:00 28-08-2017,339.62,347.41,339.34,341.83,587.29518,333.765
13:00 28-08-2017,341.83,347.42,340.49,344.3,759.06227,334.41700000000003
17:00 28-08-2017,342.54,348.5,342.16,346.0,416.19338,335.0595
21:00 28-08-2017,347.0,353.23,346.0,350.03,276.84576,336.1255
01:00 29-08-2017,351.19,360.79,350.02,354.18,381.6272,337.4725
05:00 29-08-2017,354.17,367.13,354.01,356.75,463.44028,339.137
09:00 29-08-2017,358.1,367.4,358.1,364.57,737.9557,340.9705
13:00 29-08-2017,365.74,373.66,362.79,367.44,694.84255,342.948
17:00 29-08-2017,367.44,377.6,367.36,374.7,477.42276,345.333
21:00 29-08-2017,374.7,377.8,367.37,373.0,344.29846,347.4235
01:00 30-08-2017,373.0,393.71,372.92,378.14,452.43879,349.791
05:00 30-08-2017,378.16,384.33,362.05,375.9,1349.92146,352.005
09:00 30-08-2017,373.01,385.33,370.49,379.38,1027.5116,354.3355
13:00 30-08-2017,379.38,389.8,378.72,383.38,678.10192,356.8075
17:00 30-08-2017,385.34,387.29,380.74,385.93,594.32385,359.3705
21:00 30-08-2017,384.64,384.64,377.78,383.51,676.3998,361.564
01:00 31-08-2017,383.66,385.94,379.21,383.14,482.67689,363.3145
05:00 31-08-2017,381.89,387.42,378.85,387.42,788.3641,365.5135
09:00 31-08-2017,385.82,389.36,383.48,383.76,905.28394,367.763
13:00 31-08-2017,384.38,387.39,383.13,384.45,878.88372,369.8905
17:00 31-08-2017,385.1,388.25,383.19,384.79,704.2601,372.0385
21:00 31-08-2017,386.44,394.39,384.79,390.86,752.09698,374.3665
01:00 01-09-2017,392.65,394.27,383.18,388.4,754.44472,376.4865
05:00 01-09-2017,389.48,393.08,387.46,389.64,865.19825,378.467
09:00 01-09-2017,389.56,391.2,385.88,387.01,827.84309,380.1085
13:00 01-09-2017,387.91,393.4,386.05,388.08,797.61671,381.675
17:00 01-09-2017,389.62,394.02,388.08,388.46,201.48459,382.8695
21:00 01-09-2017,388.58,394.32,373.66,378.52,916.21546,383.4235
01:00 02-09-2017,378.51,379.6,347.0,363.7,1906.75794,382.8735
05:00 02-09-2017,364.83,364.84,350.42,357.0,1296.25993,382.0735
09:00 02-09-2017,358.25,360.28,327.09,341.72,1569.16565,380.2525
13:00 02-09-2017,341.72,345.27,329.73,336.18,1353.98239,378.2665
17:00 02-09-2017,338.08,343.15,320.08,343.14,1197.94587,376.4545
21:00 02-09-2017,343.56,352.67,340.2,348.85,1014.47822,374.728
01:00 03-09-2017,348.85,367.28,348.84,357.81,697.53237,373.322
05:00 03-09-2017,357.82,363.45,334.75,336.54,1200.03896,370.9735
09:00 03-09-2017,337.69,348.22,320.08,329.34,1590.16682,368.2835
13:00 03-09-2017,329.35,347.73,328.3,343.03,451.76818,366.064
17:00 03-09-2017,343.61,347.68,337.35,341.77,299.63756,363.9645
21:00 03-09-2017,339.29,344.55,328.27,329.62,348.0023,361.223
01:00 04-09-2017,329.62,339.26,270.38,275.01,1369.08087,355.734
05:00 04-09-2017,284.51,314.27,270.0,289.93,2246.11858,350.6875
09:00 04-09-2017,286.35,298.18,267.94,269.54,1435.02347,344.7445
13:00 04-09-2017,268.93,302.55,268.2,296.43,660.72272,340.084
17:00 04-09-2017,299.04,312.92,282.36,283.77,678.86267,334.922
21:00 04-09-2017,286.81,298.74,235.55,271.12,2602.05439,329.074
01:00 05-09-2017,269.61,297.25,268.11,296.52,1541.68659,324.477
05:00 05-09-2017,296.56,299.64,282.52,295.98,1497.65197,320.35
09:00 05-09-2017,295.79,304.99,289.1,291.66,1281.64552,316.748
13:00 05-09-2017,290.07,321.52,285.94,318.26,677.80125,314.81100000000004
17:00 05-09-2017,318.71,320.45,309.76,312.09,743.57952,313.3295
21:00 05-09-2017,313.29,333.12,312.09,325.73,1625.39279,312.807
01:00 06-09-2017,325.55,328.06,314.76,318.53,886.19577,311.5765
05:00 06-09-2017,320.31,335.02,319.02,335.02,1046.05074,310.885
09:00 06-09-2017,331.73,335.24,321.01,335.0,1719.35362,309.7445
17:00 06-09-2017,335.0,336.34,335.0,335.0,209.31696,309.6675
21:00 06-09-2017,335.01,335.01,320.35,326.59,695.13817,309.53
01:00 07-09-2017,326.59,330.45,321.31,323.57,257.51863,308.557
05:00 07-09-2017,323.57,332.53,320.17,329.94,470.73116,307.9655
09:00 07-09-2017,329.94,338.38,327.79,337.0,963.8723,308.33450000000005
13:00 07-09-2017,337.0,342.5,328.81,333.52,522.99046,311.26
17:00 07-09-2017,334.77,338.35,329.15,334.49,193.64673,313.488
21:00 07-09-2017,334.49,335.1,326.79,330.0,380.72444,316.511
01:00 08-09-2017,329.35,331.68,324.72,329.57,297.62059,318.168
05:00 08-09-2017,329.57,333.76,329.57,331.53,288.20259,320.556
