Time,Open,High,Low,Close,Volume,mean
21:00 16-08-2017,4261.48,4328.69,4261.32,4315.32,70.415925,
03:00 17-08-2017,4330.29,4485.39,4287.41,4427.3,75.292822,
09:00 17-08-2017,4436.06,4485.39,4235.45,4289.24,301.685704,
15:00 17-08-2017,4289.24,4369.69,4200.74,4285.08,347.755926,
21:00 17-08-2017,4285.08,4340.62,4134.61,4313.56,391.159844,
03:00 18-08-2017,4313.56,4371.52,4247.75,4340.31,329.562357,
09:00 18-08-2017,4320.52,4340.31,4066.53,4193.35,283.699674,
15:00 18-08-2017,4171.17,4297.75,3938.77,4108.37,195.466389,
21:00 18-08-2017,4108.37,4184.69,4027.83,4077.0,138.377874,
03:00 19-08-2017,4077.0,4082.25,3850.0,3957.6,160.140695,
09:00 19-08-2017,3945.12,4100.0,3928.89,4027.37,54.669303,
15:00 19-08-2017,4013.69,4149.99,4013.69,4139.98,28.121891,
21:00 19-08-2017,4120.98,4142.16,4044.0,4117.41,18.163582,
03:00 20-08-2017,4117.41,4211.08,4032.62,4106.53,53.071554,
09:00 20-08-2017,4106.53,4150.0,4063.35,4129.0,101.696908,
15:00 20-08-2017,4129.32,4185.94,4069.13,4086.29,294.150978,
21:00 20-08-2017,4069.13,4119.62,4011.02,4016.9,327.509217,
03:00 21-08-2017,4011.04,4088.12,3953.4,4023.11,194.782369,
09:00 21-08-2017,4023.11,4029.06,3911.79,4016.2,56.151867,
15:00 21-08-2017,3997.57,4070.49,3918.8,4016.0,113.299607,4149.296
21:00 21-08-2017,4016.0,4016.0,3400.0,3626.99,157.850775,4114.879500000001
03:00 22-08-2017,3619.95,3920.31,3619.95,3866.48,345.787326,4086.8385
09:00 22-08-2017,3866.48,3998.99,3786.81,3943.0,259.417327,4069.5265
15:00 22-08-2017,3944.0,4104.82,3944.0,4040.0,203.62943,4057.2725
21:00 22-08-2017,4040.0,4127.99,4013.89,4053.18,230.347233,4044.2535
03:00 23-08-2017,4064.0,4242.32,4035.32,4237.99,206.174776,4039.1375
09:00 23-08-2017,4205.98,4265.8,4150.65,4166.27,347.680818,4037.7835
15:00 23-08-2017,4166.27,4191.71,4069.8,4114.01,216.933738,4038.0655
21:00 23-08-2017,4147.0,4204.55,4085.01,4132.09,183.92649,4040.82
03:00 24-08-2017,4132.09,4250.94,4131.91,4202.0,234.259608,4053.04
09:00 24-08-2017,4211.78,4250.9,4136.33,4188.18,203.855595,4061.0805
15:00 24-08-2017,4188.18,4371.68,4179.22,4316.01,165.37706,4069.882
21:00 24-08-2017,4316.01,4370.0,4281.04,4281.04,189.449369,4078.0635
03:00 25-08-2017,4294.79,4361.28,4267.5,4361.27,127.59776,4090.8005
09:00 25-08-2017,4361.27,4453.91,4261.13,4402.32,197.88538,4104.4665
15:00 25-08-2017,4409.44,4449.44,4247.48,4280.68,58.680231,4114.186
21:00 25-08-2017,4280.71,4319.67,4228.99,4295.75,59.035805,4128.128500000001
03:00 26-08-2017,4307.72,4319.7,4260.88,4288.72,47.463132,4141.409
09:00 26-08-2017,4288.72,4306.74,4212.41,4255.19,54.053274,4153.3585
15:00 26-08-2017,4255.19,4367.0,4236.51,4337.44,67.555857,4169.4305
21:00 26-08-2017,4332.51,4400.0,4293.42,4320.52,88.847303,4204.107
03:00 27-08-2017,4314.9,4352.34,4285.56,4323.37,78.749966,4226.9515
09:00 27-08-2017,4340.0,4370.92,4285.54,4340.0,67.239627,4246.8015
15:00 27-08-2017,4369.0,4386.79,4309.6,4310.01,115.855689,4260.302000000001
21:00 27-08-2017,4310.01,4330.36,4124.54,4169.01,134.139827,4266.093500000001
03:00 28-08-2017,4223.8,4365.4,4199.01,4308.0,155.27476,4269.594
09:00 28-08-2017,4309.0,4370.45,4271.03,4324.67,187.040859,4277.514
15:00 28-08-2017,4324.64,4399.82,4290.18,4386.69,127.38617,4291.148
21:00 28-08-2017,4353.65,4404.05,4314.35,4356.76,136.892641,4302.3815
03:00 29-08-2017,4356.76,4417.61,4313.55,4368.5,158.477821,4310.7065
09:00 29-08-2017,4368.5,4625.85,4347.59,4555.55,195.755528,4329.075
15:00 29-08-2017,4533.47,4624.99,4511.45,4587.48,112.419038,4342.6485
21:00 29-08-2017,4564.52,4625.0,4527.45,4590.49,197.914756,4358.121
03:00 30-08-2017,4590.49,4647.51,4416.01,4498.35,247.213553,4364.975
09:00 30-08-2017,4537.0,4600.0,4416.16,4600.0,213.327474,4374.859
15:00 30-08-2017,4590.01,4609.92,4516.87,4555.14,150.012988,4388.582
21:00 30-08-2017,4555.14,4628.12,4555.14,4598.54,158.90382,4403.721500000001
03:00 31-08-2017,4600.0,4678.57,4572.64,4656.67,165.620797,4422.119000000001
09:00 31-08-2017,4674.97,4685.56,4631.41,4650.55,130.427706,4441.887000000001
15:00 31-08-2017,4683.9,4745.42,4650.56,4724.89,102.004479,4461.2595
21:00 31-08-2017,4689.89,4767.0,4654.88,4664.14,125.218175,4478.4405
03:00 01-09-2017,4664.14,4798.46,4656.3,4775.0,182.622592,4501.022
09:00 01-09-2017,4775.0,4839.92,4725.81,4792.97,122.224297,4523.6705
15:00 01-09-2017,4792.97,4885.55,4739.08,4834.91,130.601302,4549.9155
21:00 01-09-2017,4796.16,4939.19,4473.35,4473.35,228.444423,4565.1325
03:00 02-09-2017,4493.0,4780.0,4473.35,4630.01,238.103589,4581.233
09:00 02-09-2017,4669.75,4675.0,4354.61,4530.01,272.279171,4591.5
15:00 02-09-2017,4554.98,4554.98,4286.87,4472.14,190.321412,4595.7725
21:00 02-09-2017,4508.5,4714.76,4467.88,4675.12,183.528629,4611.6905
03:00 03-09-2017,4684.9,4714.33,4456.8,4486.0,152.006532,4617.5655
09:00 03-09-2017,4475.23,4557.25,4298.33,4476.13,214.988722,4613.5945
15:00 03-09-2017,4500.0,4583.84,4425.46,4509.08,140.692315,4609.6745
21:00 03-09-2017,4505.0,4527.49,4340.5,4402.0,171.254706,4600.25
03:00 04-09-2017,4402.02,4493.15,4052.0,4153.0,650.670048,4582.9825
09:00 04-09-2017,4153.0,4311.14,3972.52,3972.53,367.606423,4551.609
15:00 04-09-2017,3972.53,4300.95,3972.51,4100.11,205.113437,4528.8575
21:00 04-09-2017,4106.97,4121.33,3603.0,3960.01,380.098681,4496.931
03:00 05-09-2017,3966.83,4248.6,3960.01,4246.82,342.587444,4476.4385
09:00 05-09-2017,4248.64,4337.7,4096.06,4322.47,302.1403,4460.0345
15:00 05-09-2017,4317.67,4484.99,4294.0,4366.47,204.111732,4442.1135
21:00 05-09-2017,4366.49,4522.81,4335.26,4416.17,268.073001,4429.715
03:00 06-09-2017,4416.54,4597.79,4335.26,4548.13,260.95033,4418.3715
09:00 06-09-2017,4544.59,4619.47,4422.28,4619.43,261.596797,4409.6945
15:00 06-09-2017,4619.43,4662.87,4610.0,4619.77,16.743598,4398.9375
21:00 06-09-2017,4619.77,4661.93,4438.19,4519.48,126.45288,4401.244000000001
03:00 07-09-2017,4519.47,4649.92,4452.0,4613.94,119.17673,4400.4405
09:00 07-09-2017,4616.79,4788.59,4587.65,4702.06,201.9983,4409.043
15:00 07-09-2017,4711.25,4759.99,4586.13,4691.61,52.802065,4420.0165
21:00 07-09-2017,4691.66,4735.39,4586.13,4622.0,61.378948,4417.3605
03:00 08-09-2017,4608.0,4699.77,4587.08,4647.53,65.65738,4425.437
09:00 08-09-2017,4653.92,4690.83,4028.93,4238.0,630.672989,4413.5305
15:00 08-09-2017,4243.78,4334.15,4060.0,4282.8,374.545729,4402.2165
21:00 08-09-2017,4282.8,4426.62,4150.06,4385.26,285.283269,4401.3795
03:00 09-09-2017,4380.01,4400.6,4262.75,4327.63,97.817399,4410.111
09:00 09-09-2017,4331.82,4400.6,4210.01,4220.38,163.21443,4422.503500000001
