Time,Open,High,Low,Close,Volume,mean,sm,isSm,adx,di+,di-,rsi,sma,sma55,ema,bbh,bbm,bbl
01:00 26-04-2018,0.26806,0.279,0.26701,0.27315,10711638.05,0.287917,-0.012497860714285703,False,24.002883677768615,15.007408518815332,22.762230339626655,45.92017396859829,0.28315,0.2784876363636364,0.2790802949814592,0.3237645653719817,0.28907642857142857,0.2543882917708754
05:00 26-04-2018,0.27315,0.2763,0.26225,0.2738,10568729.75,0.287426,-0.014893907142857139,False,24.08492182893624,14.041284725514924,23.477888815786923,46.2308162696078,0.278641,0.2787934545454545,0.27812024134846663,0.3225901072289411,0.2873921428571428,0.25219417848534453
09:00 26-04-2018,0.27377,0.279,0.27114,0.276,10795482.0,0.2869315,-0.016488860714285708,False,23.8545513712859,14.799581942611601,22.601308796119106,47.30913306998619,0.275388,0.2790609090909091,0.2777347429214727,0.3213614068890113,0.28600642857142855,0.2506514502538458
13:00 26-04-2018,0.27575,0.28257,0.27425,0.2782,7957454.96,0.2865335,-0.017479349999999994,False,23.23872511936089,15.947108563308236,21.67863146279656,48.398444636549286,0.275108,0.27947,0.27781933511756857,0.3162654486350445,0.2836492857142857,0.2510331227935269
17:00 26-04-2018,0.2782,0.2939,0.2782,0.29326,12339783.2,0.28694200000000003,-0.015720246428571415,False,21.620654123056283,20.25379675899142,20.01791280295368,55.088812465808964,0.27550299999999994,0.2802443636363636,0.2806267287325561,0.31167078538717613,0.28234000000000004,0.25300921461282394
21:00 26-04-2018,0.29326,0.29396,0.284,0.28527,9839756.1,0.287074,-0.01580961428571426,False,20.123714590295968,19.27645387407667,19.022341114863327,51.36927576541825,0.27634400000000003,0.28102018181818184,0.28147095987209136,0.3013393642805638,0.2799385714285714,0.25853777857657906
01:00 27-04-2018,0.28442,0.29165,0.28145,0.28844,7131799.76,0.287102,-0.014826903571428556,False,18.887455896089257,18.274112722750715,19.333168693851764,52.70294584294196,0.277786,0.2817581818181818,0.2827380580771657,0.29389330939560276,0.2785035714285714,0.26311383346154005
05:00 27-04-2018,0.28846,0.295,0.28845,0.2929,10498153.32,0.286878,-0.012047778571428566,False,17.679609739438792,19.41407789020577,18.661099487947514,54.54895370551254,0.279576,0.28252509090909095,0.28458568388131733,0.29642371346018914,0.2793535714285714,0.2622834293969537
09:00 27-04-2018,0.2929,0.30643,0.29101,0.29758,18151197.11,0.286987,-0.008525832142857133,False,17.582084484460882,23.83912580547911,17.1517666104746,56.42740636841896,0.282464,0.28339036363636366,0.2869482868119869,0.2988277716429043,0.2799442857142857,0.2610607997856671
13:00 27-04-2018,0.29758,0.30544,0.29306,0.29368,11108717.32,0.286111,-0.004262064285714282,False,17.491525319124253,22.28099692618578,16.03072454270979,54.45327730683591,0.285228,0.2842050909090909,0.28817223466435293,0.3011956529593446,0.2811457142857143,0.26109577561208397
17:00 27-04-2018,0.29322,0.29709,0.2821,0.28445,13051698.25,0.284754,-0.0015458214285714346,False,16.245152358924337,20.53117992402535,20.513816299585148,50.08780773429313,0.286358,0.284728,0.2874954647253797,0.30159837989261656,0.2818907142857143,0.262183048678812
