Time,Open,High,Low,Close,Volume,mean,sm,isSm,adx,di+,di-,rsi,sma,sma55,ema,bbh,bbm,bbl
17:00 22-11-2021,55993.04,56711.96,55610.0,56247.18,7129.16569,58203.7105,-508.299714285715,False,22.6317908719716,17.387122567784775,23.206152088608004,38.09918735296607,57808.676,60118.46327272727,57468.805746405866,60508.56193263403,58205.83714285714,55903.11235308025
21:00 22-11-2021,56243.83,57258.56,55971.97,56947.82,7357.4206,58149.449,-760.9929892857153,False,21.451629674076308,19.11782942101845,21.60585692573586,41.689608656435496,57634.167,59983.332727272726,57374.08106524116,60309.057486997444,58028.53571428572,55748.01394157399
01:00 23-11-2021,56947.82,57037.06,55809.45,56006.74,7505.13779,58047.174,-1159.3252928571444,False,20.506775067055816,17.852779323595087,21.052194072412707,38.52984678471242,57314.915,59826.40418181818,57125.473598833676,60062.838545245766,57764.195,55465.55145475423
05:00 23-11-2021,56006.74,58009.99,55317.0,56149.51,14389.97222,57928.99450000001,-1436.0261750000022,False,19.43453065934221,20.32346047687695,18.206123679694866,39.26495738749933,56998.453,59672.25745454545,56948.02567177301,59963.259190514116,57583.82642857143,55204.39366662875
09:00 23-11-2021,56147.19,57749.5,56093.55,56883.07,9115.30123,57854.145000000004,-1549.5770785714315,False,18.438875137893863,18.653501505952132,16.71014421304524,42.954598376486,56824.558000000005,59534.76654545455,56936.21554963246,59703.85002040279,57433.85,55163.84997959721
13:00 23-11-2021,56883.07,57854.39,56883.06,57778.2,7105.18588,57811.77150000001,-1455.3915642857182,False,17.61965967630464,18.265907804231592,15.885596236953873,47.08374880304133,56864.039000000004,59420.362727272724,57089.30363151747,59540.32856476753,57368.513571428564,55196.6985780896
17:00 23-11-2021,57778.21,57850.01,57380.49,57541.27,4444.83245,57809.41650000001,-1500.9366285714336,False,16.858959604828932,17.808467673793515,15.487767161465197,46.152962503429286,56892.212,59299.84036363636,57171.47933487792,59176.63639757906,57250.08571428571,55323.53503099237
21:00 23-11-2021,57541.26,57735.0,56136.0,56399.99,6366.81521,57657.914000000004,-1565.034485714292,False,16.50737562770498,16.310383475498742,20.732059902052146,41.94820568090957,56814.159999999996,59134.03836363636,57031.20854671829,58631.756631427845,57041.932857142856,55452.10908285787
01:00 24-11-2021,56399.99,56797.02,56214.85,56497.47,4974.37633,57497.412,-1534.6461571428622,False,16.18090479180417,15.789588803505481,20.070079982778438,42.41984913125841,56644.428,58966.48963636363,56934.16517458769,58234.34605790264,56890.17928571429,55546.01251352593
05:00 24-11-2021,56497.46,57560.0,56311.0,56613.63,6607.71179,57394.36,-1537.3065642857196,False,15.065138580832828,18.90175655279165,18.69116931335651,43.00072716376075,56706.488,58803.47,56875.88605193538,58156.953288071265,56835.19642857143,55513.43956907159
09:00 24-11-2021,56613.64,57166.23,55837.0,56727.53,10084.21014,57281.5995,-1455.4832928571489,False,14.448267974163958,17.522027627823235,19.92978603506188,43.5881167840582,56754.523,58639.73309090909,56848.912224310756,58098.39867615748,56797.19571428571,55495.99275241395
13:00 24-11-2021,56727.53,57116.46,56477.01,56825.13,5609.38942,57188.21050000001,-1329.87794285715,True,13.87545955368572,16.883548826562233,19.20357179962437,44.107648212472434,56742.254,58504.04163636364,56844.58818352698,58055.86543646674,56771.811428571425,55487.75742067611
17:00 24-11-2021,56825.13,57476.03,56722.0,57138.29,5969.54675,57085.162,-1062.9875607142912,True,12.905511830901377,18.24585627390319,18.354262691370142,45.79374873110459,56855.409,58374.44872727272,56897.9885137948,57738.3907317297,56696.34714285714,55654.30355398459
