Time,Open,High,Low,Close,Volume,mean,sm,isSm,adx,di+,di-,rsi,sma,sma55,ema,bbh,bbm,bbl
05:35 07-12-2021,51017.07,51023.03,50949.82,51004.23,87.69754,50994.758499999996,-76.26632142857054,True,14.325318183840734,15.228418880933836,20.408595192812605,49.66114532048121,50984.384999999995,51007.71272727273,51001.7314219172,51090.314592735725,50969.93214285715,50849.54969297857
05:40 07-12-2021,51004.23,51256.0,50986.0,51164.62,281.71014,50997.4565,-26.615303571426907,True,14.749599033380447,26.08111053858726,17.29153537833847,58.19164091557631,51011.112,51008.57690909091,51031.34752702316,51140.98532230936,50984.90571428572,50828.82610626208
05:45 07-12-2021,51165.54,51240.41,51128.0,51173.49,145.83936,51000.375,24.473696428572836,True,15.143574107953038,24.409566012299024,16.18331679730765,58.600048214804765,51037.734,51008.93109090909,51057.19161301895,51180.71228650993,50996.815,50812.917713490075
05:50 07-12-2021,51173.5,51235.99,51135.24,51191.42,92.5359,51008.115999999995,68.60661785714433,False,15.509408105770445,22.987535012292977,15.240523379469142,59.44305043808299,51057.97900000001,51010.81763636364,51081.59677428823,51217.68192034251,51017.99785714286,50818.313793943205
05:55 07-12-2021,51191.41,51233.24,51182.3,51203.11,152.41537,51015.6615,112.73006785714401,False,15.849111103743752,22.280765695851006,14.771941851029272,60.002006545689845,51088.209,51011.89290909091,51103.690088054005,51246.02457268244,51041.17785714286,50836.331141603274
06:00 07-12-2021,51203.11,51255.55,51165.92,51248.3,105.17884,51027.021,158.31515357143113,False,16.37905455365549,22.42447615597883,13.958718268463969,62.12602152955091,51113.340000000004,51013.317272727276,51129.98279931691,51280.24383453307,51066.24571428571,50852.24759403835
06:05 07-12-2021,51248.31,51485.0,51001.41,51075.97,521.5245,51031.797999999995,153.03471428571748,False,18.484470955818328,28.488807145491418,10.575784081449791,51.209902521843134,51116.937,51014.187454545456,51120.1622903502,51273.28408986811,51078.29571428571,50883.307338703315
06:10 07-12-2021,51077.1,51271.92,51050.0,51215.63,131.68083,51044.83,169.10189642857367,False,20.439500472112396,25.441635937111943,9.444595099248696,57.56989204218773,51134.975,51019.757818181824,51137.52005574107,51294.68820502441,51094.48571428571,50894.283223547005
06:15 07-12-2021,51215.64,51289.42,51161.59,51273.02,108.0268,51058.143,195.1543071428593,False,22.35302884282611,24.710429683796654,8.856933892487106,59.8346256012715,51156.526,51026.269636363635,51162.15640924269,51309.86689523261,51121.07214285714,50932.27739048167
06:20 07-12-2021,51273.01,51348.47,51239.16,51332.72,147.4538,51080.036,215.5071071428588,False,24.448119364768647,26.298891007121224,8.376934605189506,62.05251786025955,51188.251000000004,51035.27054545454,51193.16797119856,51349.36319314167,51145.05285714286,50940.74252114405
06:25 07-12-2021,51332.72,51410.0,51322.23,51329.03,145.62142,51102.558000000005,227.4459071428578,False,26.692229887272543,28.259811159126397,8.001941362905614,61.830381841549276,51220.731,51043.6829090909,51217.87015825337,51381.46490006238,51165.697857142855,50949.93081422333
06:30 07-12-2021,51329.03,51490.0,51299.99,51405.14,148.17041,51127.9475,247.46404642857243,False,29.116762920196585,29.568024256313375,7.245742129078639,64.5831007269392,51244.783,51052.60163636364,51251.919220389114,51427.2398757872,51192.118571428575,50956.99726706995
06:35 07-12-2021,51405.15,51500.0,51327.0,51347.69,267.98463,51149.9685,249.30661071428648,False,31.408436859659503,27.550763931625305,6.631283312763292,61.082934684663336,51262.203,51058.54781818182,51269.332089409276,51448.00857380651,51212.845714285715,50977.68285476492
06:40 07-12-2021,51347.7,51347.7,51250.0,51284.09,135.47821,51164.7245,239.1553785714288,False,32.31270249570899,26.199512223571595,10.171484662687298,57.454358765420395,51271.469999999994,51061.17036363637,51272.01534588031,51442.14848659202,51232.03285714286,51021.9172276937
06:45 07-12-2021,51284.09,51303.83,51206.31,51278.0,200.62479,51183.584,215.35816428571414,False,32.52484851770211,24.887414437780127,11.90576876673996,57.11239251594524,51278.958999999995,51064.406727272726,51273.10346481116,51420.09837926949,51251.587857142855,51083.07733501622
06:50 07-12-2021,51278.01,51293.58,51200.02,51214.84,82.89618,51194.476500000004,183.74137857142676,False,32.63133578468038,23.66301189528528,11.65078663318522,53.6278040062305,51275.613,51067.55418181818,51262.510107572765,51418.17555806228,51255.174999999996,51092.174441937714
06:55 07-12-2021,51214.83,51299.3,51214.83,51260.17,64.2951,51205.485,160.4745249999976,False,32.77305567266421,22.891906465975133,11.118918518994612,55.671085653099084,51294.033,51073.03836363636,51262.08463346862,51417.94409028925,51261.36642857142,51104.788766853584
07:00 07-12-2021,51260.16,51323.19,51138.66,51138.66,169.39636,51210.6555,113.1728821428554,True,31.795853160437364,20.671789060551678,14.043810285071972,49.51493195135154,51286.335999999996,51075.286909090915,51239.643791019786,51423.018109345605,51257.59785714286,51092.17760494011
07:05 07-12-2021,51138.66,51255.56,51138.65,51209.26,163.24685,51218.243,81.64397499999822,True,30.888312140803503,19.388824054883724,13.17273216334447,52.71302000518405,51279.96,51081.63727272727,51234.11946537982,51422.90802713232,51258.037142857145,51093.16625858197
07:10 07-12-2021,51209.27,51210.66,51109.24,51130.14,180.35914,51223.976500000004,31.298378571426156,True,29.627916974223172,18.326232021038745,14.040038132344105,49.047761307474154,51259.702000000005,51085.822181818185,51215.21410803803,51427.20347035532,51249.59714285714,51071.990815358964
07:15 07-12-2021,51130.13,51225.51,51109.0,51185.03,108.33444,51233.016500000005,-11.100975000001995,True,28.618705123617556,17.971887725225887,13.148546805813105,51.50995745140053,51245.302,51089.988909090906,51209.726088394746,51411.91590142504,51257.387142857144,51102.85838428925
07:20 07-12-2021,51185.03,51190.5,51132.09,51174.02,60.82267,51233.4865,-40.06388571428812,True,27.681579833769483,17.376208384177136,12.71273740076982,50.98970710668517,51222.189999999995,51094.104545454546,51203.23407232297,51413.57325991775,51254.415,51095.25674008225
07:25 07-12-2021,51174.02,51202.1,51141.07,51162.71,80.17805,51232.947499999995,-65.53324285714507,True,26.950319582939436,17.434844841326996,12.255653258980535,50.438851147266014,51203.691999999995,51097.30218181817,51195.866059173335,51412.02566041367,51246.53571428572,51081.04576815777
07:30 07-12-2021,51162.71,51275.24,51162.7,51273.36,74.58906,51237.0445,-66.05763928571659,True,27.068349250985385,20.604068225499024,11.438902300469394,55.40075402409164,51202.619,51104.58290909091,51209.95586659636,51401.66442670444,51242.29571428571,51082.927001866985
07:35 07-12-2021,51273.36,51293.5,51228.91,51258.8,67.25287,51239.829000000005,-66.73331071428862,True,27.356782088196045,20.90736425636792,10.986369116870101,54.6430008102673,51200.699,51111.37181818181,51218.83661812429,51389.68063937626,51237.279285714285,51084.87793205231
07:40 07-12-2021,51258.8,51300.0,51250.93,51297.26,61.84923,51242.277,-54.18214642857342,True,27.68988729306519,20.667175945719038,10.641922726374945,56.304769034413674,51208.941,51117.96454545455,51233.09541482896,51355.92995893356,51229.57357142858,51103.217183923596
07:45 07-12-2021,51297.26,51297.49,51220.0,51287.31,65.03682,51252.844,-67.51983214285863,True,27.398997711971372,19.62100424084518,12.123716126882012,55.74854485022517,51211.655,51124.163090909096,51242.95261213278,51338.65304520932,51225.260714285716,51111.86838336211
