Time,Open,High,Low,Close,Volume,mean,sm,isSm,adx,di+,di-,rsi,sma,sma55,ema,bbh,bbm,bbl
01:00 26-08-2017,4297.94,4319.7,4252.44,4319.7,28.707288,4233.36,204.01700357142855,False,18.3623297667772,18.596485725861907,14.831719532118044,57.920108710500415,4313.489,4154.514181818182,4292.125806218542,4427.941333245434,4273.270714285714,4118.6000953259945
05:00 26-08-2017,4319.7,4319.7,4260.88,4288.72,36.153081,4242.7755,165.81345000000007,False,17.85518081607935,17.944089408900577,14.31139761003033,55.65545219360063,4320.754,4153.400181818182,4291.506568724261,4412.5843375922595,4285.780714285715,4158.97709097917
09:00 26-08-2017,4288.72,4306.74,4221.14,4275.0,34.654984,4252.7815,122.70213928571442,True,16.801471149948103,17.008918991592527,15.985035584167791,54.65916384925733,4316.653,4150.631090909091,4288.505374410759,4398.38125978933,4294.472142857143,4190.563025924956
13:00 26-08-2017,4275.0,4351.32,4212.41,4293.52,47.431108,4255.558,99.31935714285729,False,16.386278404527175,18.26804383382834,14.650680082315946,55.78382519295541,4314.736,4149.561636363636,4289.417124517893,4391.470636724121,4301.009285714285,4210.54793470445
17:00 26-08-2017,4293.52,4367.0,4279.0,4337.44,39.523039,4262.577499999999,82.59535714285727,False,16.19086925106409,18.243804718011823,13.861283514135318,58.3620418578069,4315.58,4149.783636363636,4298.148556423731,4389.920518478606,4309.255,4228.589481521394
21:00 26-08-2017,4332.51,4400.0,4314.91,4314.91,62.980388,4272.4695,55.4215821428574,True,16.40091692164984,19.334948890876124,13.124884057343412,56.58056264358332,4310.944,4150.326,4301.196091619417,4378.248062829332,4316.3150000000005,4254.381937170669
01:00 27-08-2017,4329.19,4370.85,4293.42,4313.84,47.478199,4282.461,28.060046428571752,True,16.233308969578356,18.37813626149194,13.848827994725161,56.4943533067975,4302.892,4150.716,4303.4949840522495,4378.1062006213615,4316.16,4254.213799378638
05:00 27-08-2017,4331.29,4352.34,4285.56,4323.37,57.138682,4292.950500000001,3.3537321428570976,True,15.943174754653016,17.570546189238577,13.757477703131338,57.1070679983857,4304.512000000001,4151.136363636364,4307.1086233154765,4378.942340454132,4316.9228571428575,4254.903373831583
09:00 27-08-2017,4340.0,4340.0,4285.54,4325.0,35.277424,4301.5345,-18.178757142857194,True,15.673401952844412,16.917648100857317,13.247632782202478,57.215552996748485,4308.944,4150.857999999999,4310.36160089448,4378.468011443938,4316.637142857143,4254.806274270348
13:00 27-08-2017,4290.01,4386.78,4290.01,4368.41,72.11126,4309.8550000000005,-25.10653214285719,True,16.06467927749843,19.003741674644118,12.368177745587422,60.048239117140405,4315.991,4153.249272727273,4320.9158552773015,4380.540230550837,4317.147142857143,4253.754055163449
17:00 27-08-2017,4336.12,4386.79,4309.6,4310.01,75.706632,4314.2555,-40.84603571428596,True,16.428140849621524,17.97918207720389,11.70091021950355,54.900806047733866,4315.022,4156.408,4318.9329724996105,4357.862450441226,4311.1221428571425,4264.381835273059
21:00 27-08-2017,4310.01,4330.36,4239.36,4239.37,73.295355,4315.4205,-67.51132500000045,True,15.457210610927191,16.826640198786862,15.898834535063791,49.49830345648858,4310.0869999999995,4158.789818181818,4304.466977499681,4365.9227552234925,4306.279285714286,4246.635816205079
01:00 28-08-2017,4239.36,4297.11,4124.54,4261.9,94.397198,4312.715,-74.95489285714336,True,15.694740972400918,14.878760515504382,21.7605976772464,51.113380218177284,4308.777,4161.0325454545455,4296.727527045193,4367.592711328744,4304.937857142857,4242.2830029569695
05:00 28-08-2017,4261.9,4365.4,4226.93,4308.0,121.722034,4312.4805,-69.5150928571434,True,14.908470802955353,18.01047508897419,19.781782559001766,54.263765940522845,4310.225,4166.023999999999,4298.77706758243,4368.2044341840465,4305.6564285714285,4243.1084229588105
