Time,Open,High,Low,Close,Volume,mean,sm,isSm,adx,di+,di-,rsi,sma,sma55,ema,bbh,bbm,bbl
01:00 26-08-2017,323.46,329.69,323.41,327.9,1070.6985,323.04049999999995,17.41587142857142,True,35.01359490216397,14.117376066272346,24.75900470318687,57.491254737297695,327.321,310.04,326.2511406776613,334.92211366165367,325.1271428571428,315.33217205263196
05:00 26-08-2017,328.45,331.25,326.69,327.89,856.541,323.572,12.523985714285686,True,34.228815245972854,14.715112719917306,24.022466906222043,57.48302545901528,327.98699999999997,310.40236363636365,326.54911509990467,334.2054554521379,326.03214285714284,317.85883026214776
09:00 26-08-2017,328.25,335.44,324.06,327.0,940.58482,323.969,8.079246428571402,True,32.874426648663466,16.351507859892536,22.244033910323918,56.72238253877603,328.345,310.73054545454545,326.6310941726492,333.6771858648808,326.63642857142855,319.5956712779763
13:00 26-08-2017,327.01,334.17,326.7,331.19,803.00095,324.5685,4.874889285714268,True,31.616780094019038,15.538326936626598,21.13781030163008,59.38568651287193,328.809,311.1692727272727,327.45998614125847,334.36861779632807,327.17785714285714,319.9870964893862
17:00 26-08-2017,332.68,334.17,329.33,330.79,637.28193,325.148,1.9823749999999976,True,30.448965436134927,15.017218253027211,20.42891181176168,59.02069390605133,328.85900000000004,311.7,328.0654432064842,334.44678314735086,327.86285714285714,321.2789311383634
21:00 26-08-2017,332.18,338.28,330.79,331.62,1056.62234,325.80049999999994,-0.43060357142856986,True,28.708911028094974,17.126910235306788,19.347549660859254,59.5635316045575,328.895,312.23854545454543,328.7117262598507,334.3153602588374,328.60499999999996,322.8946397411625
01:00 27-08-2017,334.5,338.29,331.49,332.77,689.1668,326.652,-2.651849999999989,True,27.0915653789535,16.2913885462043,18.395521461046876,60.32994717944173,328.857,312.808909090909,329.4495942126051,334.5737273063107,329.2728571428571,323.97198697940354
05:00 27-08-2017,332.77,338.42,330.73,333.94,857.24989,327.58799999999997,-4.42585714285714,True,25.702383547363517,15.370286162241465,17.914228161248445,61.119154704425966,329.38,313.3125454545455,330.26603162849506,335.37654716026265,329.80071428571426,324.2248814111659
09:00 27-08-2017,333.93,336.99,331.88,334.67,665.54231,328.3945,-5.5306785714285525,True,24.41242898945853,14.772583087821573,17.21759902013712,61.62061875073238,330.123,313.80145454545453,331.06675315058686,336.2294739184172,330.1135714285714,323.99766893872555
13:00 27-08-2017,335.04,341.47,332.97,339.64,795.13177,329.196,-5.110225,True,22.914345651087014,17.24294695438184,16.09632205999196,64.86788789373114,331.741,314.544,332.6255253050256,338.5559290368299,330.71214285714285,322.8683566774558
17:00 27-08-2017,341.47,348.13,337.12,348.13,571.72404,330.5425,-3.376464285714299,False,22.49923702871718,20.844519338005686,14.75585042089286,69.50712330510368,333.764,315.5312727272727,335.4445207041118,343.6954899424714,331.78214285714284,319.8687957718143
21:00 27-08-2017,348.11,351.0,343.44,343.44,740.63428,331.65299999999996,-2.372507142857131,False,22.478655091123308,21.837546389676675,13.899875487693055,64.55052762046526,335.31899999999996,316.4309090909091,336.8982442124551,346.01128887300484,332.83428571428567,319.6572825555665
01:00 28-08-2017,343.43,343.69,331.95,338.77,1139.94898,332.4205,-1.7323428571428643,True,21.118910943187892,19.906378446271685,21.32568375550188,60.061321985981,336.496,317.2590909090909,337.23856344655417,346.7744533445539,333.65785714285715,320.54126094116043
05:00 28-08-2017,340.89,342.86,336.54,341.9,636.04761,333.188,0.5633678571428433,False,19.85629137724786,18.935581259927748,20.28566967948197,61.92926989174357,337.567,318.1998181818182,338.0860973653625,347.4169377223048,334.97499999999997,322.53306227769514
09:00 28-08-2017,339.62,347.41,339.34,341.83,587.29518,333.765,3.709882142857124,False,18.84178132587339,21.288971965390733,19.010767006525427,61.86115858358272,338.67099999999994,319.2770909090909,338.76680693529653,348.2160652572862,335.96999999999997,323.72393474271377
13:00 28-08-2017,341.83,347.42,340.49,344.3,759.06227,334.41700000000003,7.878528571428557,False,17.901138464054917,20.127529405042722,17.966536379866334,63.35800645260961,339.93899999999996,320.28909090909093,339.7728420379699,349.2103896905753,337.14214285714286,325.0738960237104
17:00 28-08-2017,342.54,348.5,342.16,346.0,416.19338,335.05949999999996,9.244296428571413,False,17.186882853001283,19.968746258449293,17.044150080090933,64.37108048273035,341.262,321.24709090909084,340.9050525765208,349.9580551926888,338.4992857142857,327.0405162358826
21:00 28-08-2017,347.0,353.23,346.0,350.03,276.84576,336.1255,10.533821428571398,False,17.18325834385566,22.664574764227112,16.033259768213306,66.67052572205064,342.871,322.322,342.56413392624427,351.9604016500839,339.84499999999997,327.72959834991605
