Time,Open,High,Low,Close,Volume,mean,sm,isSm,adx,di+,di-,rsi,sma,sma55,ema,bbh,bbm,bbl
01:00 20-08-2020,2.9291,3.0493,2.92,2.998,112596.52,3.1234450000000002,-0.193358107142857,True,15.740135473088916,17.247793955506236,24.07401613653111,43.98074118467429,3.0786900000000004,3.3549818181818183,3.0310259112598352,3.4500411456528846,3.0885000000000002,2.726958854347116
05:00 20-08-2020,2.9955,3.1898,2.9895,3.1508,231282.31,3.113475,-0.16064425,True,14.935933373858523,20.60998828832698,22.543843581321735,48.71187006016479,3.04088,3.359134545454545,3.0528030183035013,3.4583844484321253,3.0969285714285713,2.735472694425017
09:00 20-08-2020,3.151,3.35,3.109,3.3254,225160.02,3.11974,-0.10843125,True,14.389178177269358,24.099816351569874,20.82842880104674,53.44146557818818,3.0393499999999998,3.3641472727272728,3.1023661058846828,3.4950539259395703,3.120885714285714,2.7467175026318578
13:00 20-08-2020,3.3441,3.445,3.18,3.3261,369624.9,3.12159,-0.05158371428571415,True,14.325697617243536,25.070987278127692,19.106788587445504,53.459577630019886,3.06121,3.366621818181818,3.143044995723831,3.5264737696020694,3.1393785714285714,2.7522833732550733
17:00 20-08-2020,3.3333,3.4106,3.1461,3.2038,225578.79,3.12546,-0.03635535714285701,True,14.063029614543685,23.02522893513007,18.593520653128216,49.890231366873756,3.07784,3.3668981818181822,3.15409136013768,3.49731961787792,3.1280714285714284,2.7588232392649368
21:00 20-08-2020,3.2038,3.24,3.1104,3.16,211500.59,3.1257550000000003,-0.0287784285714284,True,13.600128540435806,22.074749579254462,18.963090417259178,48.66531415467037,3.09284,3.3643799999999997,3.1551656582944654,3.3982923854248934,3.101721428571429,2.8051504717179645
01:00 21-08-2020,3.1599,3.2168,3.0,3.0718,247316.45,3.123845,-0.04350949999999981,True,12.736295934728943,20.546757881288173,21.17528885850853,46.25791479615749,3.09922,3.3605909090909094,3.1400082658772894,3.3478765163903708,3.0825142857142858,2.8171520550382008
05:00 21-08-2020,3.0617,3.1377,3.0185,3.0918,188310.47,3.126795,-0.06123778571428558,True,11.934165658001143,19.737800530557454,20.341585279826813,46.88508141463527,3.11436,3.3556036363636363,3.131243126626873,3.346455776511994,3.081392857142857,2.8163299377737196
09:00 21-08-2020,3.0918,3.1636,2.9738,3.0127,236806.21,3.12793,-0.09691192857142843,True,11.457778781634598,18.489518927700484,20.54456565734233,44.712766205830874,3.12695,3.343394545454545,3.1096898308765324,3.3461613872865086,3.0796214285714285,2.8130814698563484
13:00 21-08-2020,3.0149,3.0812,2.9877,3.0483,81401.46,3.126985,-0.11937049999999982,True,11.015419539294232,17.88930326150559,19.877638074698073,45.90026510160736,3.13887,3.3303127272727275,3.0985280434444356,3.346760262725118,3.0823571428571435,2.817954022989169
17:00 21-08-2020,3.0483,3.1137,2.89,2.9317,166560.72,3.105465,-0.1252359285714284,False,11.201450045433266,16.508510029431747,21.714413603986156,42.73563155990826,3.13224,3.316729090909091,3.0681956719090837,3.3502119383227362,3.076907142857143,2.8036023473915495
21:00 21-08-2020,2.9213,2.9386,2.8,2.814,226775.5,3.0697200000000002,-0.12665021428571416,True,11.870592983063133,15.699944416054045,23.831305582232154,39.81855369711791,3.09856,3.2996054545454547,3.0219782770165224,3.365861813321433,3.067878571428572,2.7698953295357107
01:00 22-08-2020,2.82,2.8463,2.7431,2.805,259927.98,3.0429350000000004,-0.1320287857142855,True,12.78658516108972,15.1066415258892,25.014301063918055,39.600980060657925,3.04652,3.2822545454545455,2.9825276811953367,3.3767313913829273,3.0620357142857144,2.7473400371885015
05:00 22-08-2020,2.8029,2.8655,2.7876,2.8599,108202.73,3.030555,-0.14160839285714275,False,13.472176240975754,15.390985504517838,24.268765311988304,41.64827638960523,2.9999000000000002,3.2600981818181816,2.9602317391598207,3.381993584524409,3.0570928571428575,2.732192129761306
09:00 22-08-2020,2.8599,3.16,2.8586,3.061,391064.64,3.03173,-0.11958824999999992,False,12.958973253501483,24.484597074856623,21.587867173702865,48.39315648518927,2.98562,3.245389090909091,2.9785532411307623,3.3848360160742073,3.061592857142857,2.7383496982115063
13:00 22-08-2020,3.0601,3.2,3.039,3.0536,110838.62,3.03391,-0.10444917857142855,False,12.704211338373153,24.506114699725735,20.297977099518015,48.1774513866922,2.97498,3.2316999999999996,2.9921981063797145,3.3740837020415975,3.05465,2.7352162979584027
17:00 22-08-2020,3.0536,3.0661,2.979,3.0126,72608.31,3.03414,-0.09928892857142863,False,12.070683432971578,23.681723711036103,21.93250003371873,46.95676757539825,2.96906,3.2163545454545455,2.9959075415834024,3.3144451077333534,3.032307142857143,2.7501691779809323
21:00 22-08-2020,3.0224,3.2857,3.0014,3.1121,226040.75,3.042725,-0.08452035714285723,False,12.628389997846563,29.345535221726614,19.613230159322885,50.18130435205344,2.97109,3.2051200000000004,3.017033443113693,3.2532948316882595,3.0170214285714287,2.780748025454598
01:00 23-08-2020,3.1122,3.2111,3.0483,3.0723,160092.56,3.052,-0.0867785714285716,False,13.146260379516193,27.54901757122982,18.412518913191235,48.92891511936675,2.97705,3.195070909090909,3.0270819080021125,3.2229835929769965,3.0076285714285715,2.7922735498801465
05:00 23-08-2020,3.07,3.0782,3.0258,3.034,94823.86,3.0572450000000004,-0.09582896428571461,False,13.460685456322137,26.976567372426114,18.922161393514088,47.72245694342454,2.97562,3.185689090909091,3.028339742910819,3.1976738990526576,2.9986285714285716,2.7995832438044856
09:00 23-08-2020,3.034,3.1301,3.0073,3.1301,102542.04,3.06385,-0.08303696428571454,False,14.023947072529664,27.738321990748275,17.979282912735865,50.91886550759733,2.99546,3.175012727272727,3.0468416078361247,3.210057042792625,3.0027928571428575,2.79552867149309
13:00 23-08-2020,3.1299,3.4,3.1105,3.3917,433321.17,3.075895,-0.010461678571428809,False,15.699120011172115,35.09309961575822,15.960183318298807,58.235984421339694,3.05323,3.171610909090909,3.109543133684102,3.310698769035239,3.0242142857142857,2.7377298023933325
17:00 23-08-2020,3.399,3.4,3.1949,3.25,181216.31,3.072125,0.04843807142857115,False,17.254637739911534,32.323567309559884,14.700612525269523,53.6735721611328,3.09773,3.1692618181818184,3.1350807457415377,3.350116955294622,3.0411642857142858,2.7322116161339496
21:00 23-08-2020,3.2658,3.3711,3.2144,3.285,90708.98,3.0700700000000003,0.11519353571428553,False,18.69904705945528,30.35264601078971,13.804246414018795,54.5983748670218,3.1402399999999995,3.166990909090909,3.162338791970349,3.391659775649264,3.0580714285714286,2.724483081493593
01:00 24-08-2020,3.285,3.4849,3.2572,3.4479,215266.95,3.082275,0.19414489285714268,False,20.475582854980576,32.06213927545923,12.601811204840946,58.64317361209034,3.1789300000000003,3.169154545454546,3.2142590116121035,3.47533652326322,3.094942857142857,2.7145491910224946
05:00 24-08-2020,3.4478,3.62,3.326,3.4632,441025.11,3.097435,0.2590628214285714,False,22.57184814149904,33.56277554697887,11.240370891513166,59.00425989570479,3.2198900000000004,3.1680945454545455,3.2595210095008116,3.5315624840785205,3.141314285714286,2.7510660873500514
09:00 24-08-2020,3.4707,3.5727,3.3888,3.4696,176644.5,3.117325,0.3095423928571427,False,24.518380193266182,31.285928933743673,10.477841572088241,59.16126040259527,3.2655900000000004,3.1684509090909088,3.297717189591573,3.565289365242347,3.1887857142857143,2.8122820633290817
13:00 24-08-2020,3.4696,3.5363,3.25,3.2812,250663.94,3.126795,0.3197553214285713,False,25.077736634194085,28.090959013923893,14.358746543701987,52.88537208133331,3.2825,3.165701818181818,3.294714064211287,3.5500405790715424,3.2188785714285717,2.887716563785601
17:00 24-08-2020,3.2768,3.356,3.21,3.3405,140886.58,3.143185,0.3282649285714284,False,25.2669078501903,26.59918759308933,15.051157299181565,54.48508379910207,3.3093199999999996,3.1651945454545456,3.3030387798092344,3.5631553494293273,3.238842857142857,2.914530364856387
21:00 24-08-2020,3.3406,3.3654,3.1421,3.1503,227524.71,3.148285,0.2994896785714285,False,24.894937659395254,24.459710776936326,16.286329966598526,48.88153672213995,3.32095,3.1647818181818184,3.2752680925711917,3.557877297748852,3.24575,2.933622702251148
